Month,usg_apt,fg_apt,carrier,type,Scheduled
6,JFK,LHR,VS,Passengers,85790
5,JFK,LHR,VS,Passengers,85790
6,JFK,CDG,AF,Passengers,85324
6,LGA,YYZ,AC,Passengers,82389
6,JFK,LHR,BA,Passengers,79975
6,LAX,YYZ,AC,Passengers,73172
6,IAH,CUN,UA,Passengers,67015
6,LAX,MEX,AM,Passengers,65577
6,JFK,MEX,AM,Passengers,63497
6,ATL,CUN,DL,Passengers,62734
6,DFW,CUN,AA,Passengers,62373
6,DTW,AMS,DL,Passengers,61353
6,BOS,LHR,BA,Passengers,60056
6,JFK,LHR,AA,Passengers,60055
6,DFW,LHR,AA,Passengers,58939
6,JFK,STI,B6,Passengers,58499
6,JFK,SVO,SU,Passengers,57599
6,SFO,YYZ,AC,Passengers,57120
6,ORD,LHR,AA,Passengers,56929
6,JFK,DXB,EK,Passengers,54439
6,SFO,HKG,CX,Passengers,52873
6,ATL,YYZ,DL,Passengers,52017
6,JFK,SDQ,B6,Passengers,51753
6,MIA,LHR,BA,Passengers,51533
6,LGA,YYZ,WS,Passengers,51287
6,JFK,IST,TK,Passengers,51197
6,MIA,PTY,CM,Passengers,51054
6,EWR,LHR,UA,Passengers,49901
6,LAX,HKG,CX,Passengers,49185
6,MSP,AMS,DL,Passengers,48209
6,JFK,FCO,AZ,Passengers,48156
6,LAX,CDG,AF,Passengers,47972
6,JFK,FRA,LH,Passengers,47176
6,ATL,AMS,DL,Passengers,47147
6,LAX,PEK,CA,Passengers,46915
6,JFK,AMS,KL,Passengers,46873
6,ATL,CDG,AF,Passengers,46578
6,LAX,ICN,OZ,Passengers,44630
6,JFK,HKG,CX,Passengers,44393
6,HNL,NRT,JL,Passengers,44301
