,Row,Tag,Valid,00,01,10,11
0,0,,0,,,,
1,1,,0,,,,
2,2,,0,,,,
3,3,,0,,,,
4,4,,0,,,,
5,5,,0,,,,
6,6,,0,,,,
7,7,,0,,,,
8,8,,0,,,,
9,9,,0,,,,
A,10,,0,,,,
B,11,,0,,,,
C,12,,0,,,,
D,13,,0,,,,
E,14,,0,,,,
F,15,,0,,,,
10,16,,0,,,,
11,17,,0,,,,
12,18,,0,,,,
13,19,,0,,,,
14,20,,0,,,,
15,21,,0,,,,
16,22,,0,,,,
17,23,,0,,,,
18,24,,0,,,,
19,25,,0,,,,
1A,26,,0,,,,
1B,27,,0,,,,
1C,28,,0,,,,
1D,29,,0,,,,
1E,30,,0,,,,
1F,31,,0,,,,
20,32,,0,,,,
21,33,,0,,,,
22,34,,0,,,,
23,35,,0,,,,
24,36,,0,,,,
25,37,,0,,,,
26,38,,0,,,,
27,39,,0,,,,
28,40,,0,,,,
29,41,,0,,,,
2A,42,,0,,,,
2B,43,,0,,,,
2C,44,,0,,,,
2D,45,,0,,,,
2E,46,,0,,,,
2F,47,,0,,,,
30,48,,0,,,,
31,49,,0,,,,
32,50,,0,,,,
33,51,,0,,,,
34,52,,0,,,,
35,53,,0,,,,
36,54,,0,,,,
37,55,,0,,,,
38,56,,0,,,,
39,57,,0,,,,
3A,58,,0,,,,
3B,59,,0,,,,
3C,60,,0,,,,
3D,61,,0,,,,
3E,62,,0,,,,
3F,63,,0,,,,
40,64,,0,,,,
41,65,,0,,,,
42,66,,0,,,,
43,67,,0,,,,
44,68,,0,,,,
45,69,,0,,,,
46,70,,0,,,,
47,71,,0,,,,
48,72,,0,,,,
49,73,,0,,,,
4A,74,,0,,,,
4B,75,,0,,,,
4C,76,,0,,,,
4D,77,,0,,,,
4E,78,,0,,,,
4F,79,,0,,,,
50,80,,0,,,,
51,81,,0,,,,
52,82,,0,,,,
53,83,,0,,,,
54,84,,0,,,,
55,85,,0,,,,
56,86,,0,,,,
57,87,,0,,,,
58,88,,0,,,,
59,89,,0,,,,
5A,90,,0,,,,
5B,91,,0,,,,
5C,92,,0,,,,
5D,93,,0,,,,
5E,94,,0,,,,
5F,95,,0,,,,
60,96,,0,,,,
61,97,,0,,,,
62,98,,0,,,,
63,99,,0,,,,
64,100,,0,,,,
65,101,,0,,,,
66,102,,0,,,,
67,103,,0,,,,
68,104,,0,,,,
69,105,,0,,,,
6A,106,,0,,,,
6B,107,,0,,,,
6C,108,,0,,,,
6D,109,,0,,,,
6E,110,,0,,,,
6F,111,,0,,,,
70,112,,0,,,,
71,113,,0,,,,
72,114,,0,,,,
73,115,,0,,,,
74,116,,0,,,,
75,117,,0,,,,
76,118,,0,,,,
77,119,,0,,,,
78,120,,0,,,,
79,121,,0,,,,
7A,122,,0,,,,
7B,123,,0,,,,
7C,124,,0,,,,
7D,125,,0,,,,
7E,126,,0,,,,
7F,127,,0,,,,
